,Date,Stock,StockChange,SentimentValue,SentimentChange
463,12/8/2019,303.7125015,-1.212501526,0.229086667,-0.1194
464,12/9/2019,302.5,-1.212501526,0.341524444,0.112437777
465,12/10/2019,293.1199951,-9.380004883,0.30626,-0.035264444
466,12/11/2019,298.9299927,5.809997559,0.342578889,0.036318889
467,12/12/2019,298.4400024,-0.489990234,0.335562222,-0.007016667
468,12/13/2019,298.5,0.059997559,0.363218889,0.027656667
469,12/14/2019,301.3549957,2.854995728,0.268512222,-0.094706667
470,12/15/2019,302.7824936,1.427497864,0.312335556,0.043823334
471,12/16/2019,304.2099915,1.427497864,0.31244,0.000104444
472,12/17/2019,315.480011,11.27001953,0.30457,-0.00787
473,12/18/2019,320.7999878,5.319976807,0.230061111,-0.074508889
474,12/19/2019,332.2200012,11.42001343,0.314803333,0.084742222
475,12/20/2019,336.8999939,4.679992676,0.376432222,0.061628889
476,12/21/2019,335,-1.899993896,0.367874444,-0.008557778
477,12/22/2019,334.0500031,-0.949996948,0.25712,-0.110754444
478,12/23/2019,333.1000061,-0.949996948,0.318097778,0.060977778
479,12/24/2019,333.2000122,0.100006104,0.389214444,0.071116666
480,12/25/2019,332.9150085,-0.285003662,0.36047,-0.028744444
481,12/26/2019,332.6300049,-0.285003662,0.31621,-0.04426
482,12/27/2019,329.0899963,-3.540008545,0.29999,-0.01622
483,12/28/2019,326.1999969,-2.88999939,0.360362222,0.060372222
484,12/29/2019,324.7549973,-1.444999695,0.244145556,-0.116216666
485,12/30/2019,323.3099976,-1.444999695,0.22171,-0.022435556
486,12/31/2019,323.5700073,0.260009766,0.38386,0.16215
487,1/1/2020,326.6900024,3.119995117,0.418568889,0.034708889
488,1/2/2020,329.8099976,3.119995117,0.308536667,-0.110032222
489,1/3/2020,325.8999939,-3.910003662,0.305157778,-0.003378889
490,1/4/2020,330.8649902,4.964996338,0.308213333,0.003055555
491,1/5/2020,333.3474884,2.482498169,0.274338889,-0.033874444
492,1/6/2020,335.8299866,2.482498169,0.278328889,0.00399
493,1/7/2020,330.75,-5.079986572,0.225955556,-0.052373333
494,1/8/2020,339.2600098,8.510009766,0.274935556,0.04898
495,1/9/2020,335.6600037,-3.600006104,0.275491111,0.000555555
496,1/10/2020,329.0499878,-6.610015869,0.312518889,0.037027778
497,1/11/2020,333.9850006,4.935012817,0.299713333,-0.012805556
498,1/12/2020,336.452507,2.467506409,0.281014444,-0.018698889
499,1/13/2020,338.9200134,2.467506409,0.298461111,0.017446667
500,1/14/2020,338.6900024,-0.230010986,0.304058889,0.005597778
501,1/15/2020,339.0700073,0.380004883,0.253138889,-0.05092
502,1/16/2020,338.6199951,-0.450012207,0.162872222,-0.090266667
503,1/17/2020,339.6700134,1.050018311,0.293618889,0.130746667
504,1/18/2020,338.8899994,-0.780014038,0.264207778,-0.029411111
505,1/19/2020,338.4999924,-0.390007019,0.343996667,0.079788889
506,1/20/2020,338.3049889,-0.19500351,0.247571111,-0.096425556
507,1/21/2020,338.1099854,-0.19500351,0.257316667,0.009745556
508,1/22/2020,326,-12.10998535,0.328163333,0.070846666
509,1/23/2020,349.6000061,23.6000061,0.325071111,-0.003092222
510,1/24/2020,353.1600037,3.559997559,0.262404444,-0.062666667
511,1/25/2020,348.0200043,-5.13999939,0.258311111,-0.004093333
512,1/26/2020,345.4500046,-2.569999695,0.326814444,0.068503333
513,1/27/2020,342.8800049,-2.569999695,0.216892222,-0.109922222
514,1/28/2020,348.519989,5.639984131,0.211724444,-0.005167778
515,1/29/2020,343.1600037,-5.359985352,0.314954444,0.10323
516,1/30/2020,347.7399902,4.579986572,0.377881111,0.062926667
517,1/31/2020,345.0899963,-2.649993896,0.419037778,0.041156667
518,2/1/2020,351.5449982,6.455001831,0.339922222,-0.079115556
519,2/2/2020,354.7724991,3.227500916,0.373694565,0.033772343
520,2/3/2020,358,3.227500916,0.384997727,0.011303162
521,2/4/2020,369.0100098,11.01000977,0.250267778,-0.134729949
522,2/5/2020,369.6700134,0.660003662,0.323996667,0.073728889
523,2/6/2020,366.9500122,-2.720001221,0.336763333,0.012766666
524,2/7/2020,366.769989,-0.180023193,0.285966667,-0.050796666
525,2/8/2020,368.9199982,2.150009155,0.275398889,-0.010567778
526,2/9/2020,369.9950027,1.075004578,0.214356667,-0.061042222
527,2/10/2020,371.0700073,1.075004578,0.353215556,0.138858889
528,2/11/2020,373.6900024,2.619995117,0.324551111,-0.028664445
529,2/12/2020,380.0100098,6.320007324,0.364528889,0.039977778
530,2/13/2020,381.3999939,1.389984131,0.300966667,-0.063562222
531,2/14/2020,380.3999939,-1,0.298835556,-0.002131111
532,2/15/2020,384.0899963,3.690002441,0.316178889,0.017343333
533,2/16/2020,385.9349976,1.845001221,0.314362222,-0.001816667
534,2/17/2020,386.8574982,0.92250061,0.392256667,0.077894445
535,2/18/2020,387.7799988,0.92250061,0.348894444,-0.043362223
536,2/19/2020,386.1900024,-1.589996338,0.346432222,-0.002462222
537,2/20/2020,386,-0.190002441,0.319116667,-0.027315555
538,2/21/2020,380.0700073,-5.929992676,0.290283333,-0.028833334
539,2/22/2020,374.3850098,-5.684997559,0.25442,-0.035863333
540,2/23/2020,371.542511,-2.842498779,0.191486667,-0.062933333
541,2/24/2020,368.7000122,-2.842498779,0.274688889,0.083202222
542,2/25/2020,360.0899963,-8.610015869,0.31528,0.040591111
543,2/26/2020,379.2399902,19.1499939,0.274758889,-0.040521111
544,2/27/2020,371.7099915,-7.529998779,0.29843,0.023671111
545,2/28/2020,369.0299988,-2.679992676,0.237798889,-0.060631111
546,2/29/2020,375.0399933,6.009994507,0.273881111,0.036082222
547,3/1/2020,378.0449905,3.004997253,0.236153333,-0.037727778
548,3/2/2020,381.0499878,3.004997253,0.30485,0.068696667
549,3/3/2020,368.769989,-12.27999878,0.265514444,-0.039335556
550,3/4/2020,383.7900085,15.02001953,0.283963333,0.018448889
551,3/5/2020,372.7799988,-11.01000977,0.263437778,-0.020525555
552,3/6/2020,368.9700012,-3.809997559,0.35057,0.087132222
553,3/7/2020,357.7299957,-11.24000549,0.312053333,-0.038516667
554,3/8/2020,352.109993,-5.620002747,0.348626667,0.036573334
555,3/9/2020,346.4899902,-5.620002747,0.294793333,-0.053833334
556,3/10/2020,364.1300049,17.64001465,0.268262222,-0.026531111
557,3/11/2020,349.9200134,-14.20999146,0.306282222,0.03802
558,3/12/2020,315.25,-34.67001343,0.224963333,-0.081318889
559,3/13/2020,336.2999878,21.04998779,0.283393333,0.05843
560,3/14/2020,317.5699921,-18.72999573,0.293748889,0.010355556
561,3/15/2020,308.2049942,-9.364997864,0.287856667,-0.005892222
562,3/16/2020,298.8399963,-9.364997864,0.304477778,0.016621111
563,3/17/2020,319.75,20.91000366,0.321884444,0.017406666
564,3/18/2020,315.4700012,-4.279998779,0.315058889,-0.006825555
565,3/19/2020,332.0299988,16.55999756,0.243305556,-0.071753333
566,3/20/2020,332.8299866,0.799987793,0.320952222,0.077646666
567,3/21/2020,346.5499878,13.72000122,0.279787778,-0.041164444
568,3/22/2020,353.4099884,6.86000061,0.210687778,-0.0691
569,3/23/2020,360.269989,6.86000061,0.24713,0.036442222
570,3/24/2020,357.3200073,-2.949981689,0.206516667,-0.040613333
571,3/25/2020,342.3900146,-14.92999268,0.247565556,0.041048889
572,3/26/2020,362.9899902,20.59997559,0.160624444,-0.086941112
573,3/27/2020,357.1199951,-5.869995117,0.219272222,0.058647778
574,3/28/2020,364.0399933,6.919998169,0.186715556,-0.032556666
575,3/29/2020,367.4999924,3.459999084,0.212765556,0.02605
576,3/30/2020,370.9599915,3.459999084,0.274294444,0.061528888
577,3/31/2020,375.5,4.540008545,0.319264444,0.04497
578,4/1/2020,364.0799866,-11.42001343,0.273193333,-0.046071111
579,4/2/2020,370.0799866,6,0.255598889,-0.017594444
580,4/3/2020,361.7600098,-8.319976807,0.267208889,0.01161
581,4/4/2020,370.8600006,9.099990845,0.229885556,-0.037323333
582,4/5/2020,375.409996,4.549995422,0.266164444,0.036278888
583,4/6/2020,379.9599915,4.549995422,0.281131111,0.014966667
584,4/7/2020,372.2799988,-7.679992676,0.297017778,0.015886667
585,4/8/2020,371.1199951,-1.160003662,0.25802,-0.038997778
586,4/9/2020,370.7200012,-0.399993896,0.288423333,0.030403333
587,4/10/2020,383.7200012,13,0.301752222,0.013328889
588,4/11/2020,390.2200012,6.5,0.317495556,0.015743334
589,4/12/2020,393.4700012,3.25,0.297176667,-0.020318889
590,4/13/2020,396.7200012,3.25,0.276331111,-0.020845556
591,4/14/2020,413.5499878,16.82998657,0.195548889,-0.080782222
592,4/15/2020,426.75,13.20001221,0.318106667,0.122557778
593,4/16/2020,439.1700134,12.42001343,0.284314444,-0.033792223
594,4/17/2020,422.9599915,-16.21002197,0.246122222,-0.038192222
595,4/18/2020,430.2249908,7.26499939,0.413824444,0.167702222
596,4/19/2020,433.8574905,3.632499695,0.277914444,-0.13591
597,4/20/2020,437.4899902,3.632499695,0.238957778,-0.038956666
598,4/21/2020,433.8299866,-3.660003662,0.294493333,0.055535555
599,4/22/2020,421.4200134,-12.40997314,0.279147778,-0.015345555
600,4/23/2020,426.7000122,5.279998779,0.317112222,0.037964444
